------------ Data File Created By ActiGraph GT3X+ ActiLife v6.12.0 Firmware v3.2.1 date format M/d/yyyy Filter Normal Multiple Incline Limb: Undefined -----------
Serial Number: NEO1C04110486
Start Time 00:00:00
Start Date 11/19/2013
Epoch Period (hh:mm:ss) 00:01:00
Download Time 00:00:38
Download Date 1/1/2007
Current Memory Address: 0
Current Battery Voltage: 3.22     Mode = 61
--------------------------------------------------
Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,16,23,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
8,0,16,1,0,0,0,60,0
158,72,106,6,0,0,0,59,1
59,13,94,4,0,0,0,60,0
22,25,24,2,0,0,0,60,0
41,5,162,4,0,0,0,60,0
27,0,97,3,0,0,0,60,0
18,0,70,2,0,0,0,60,0
56,10,163,5,0,0,0,60,0
84,16,234,3,0,0,0,60,0
18,1,35,1,0,0,0,60,0
51,10,66,2,0,0,0,60,0
0,3,5,0,0,0,0,60,0
0,8,12,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
80,49,480,3,0,0,0,60,0
88,49,768,4,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,0,46,0,0,0,0,60,0
53,42,326,2,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,0,2,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
82,83,190,4,0,0,0,60,0
29,0,236,4,0,0,0,60,0
190,66,761,13,0,0,0,60,0
31,9,133,2,0,0,0,59,1
65,30,203,5,0,0,0,60,0
18,4,53,0,0,0,0,60,0
